female_gender,female_id,female_matrix1,female_verbal1,female_age,female_occup,male_gender,male_id,male_matrix1,male_verbal1,male_age,male_occup
2,88,3,12,20,2,1,71,2,7,39,1
2,3,6,20,22,8,1,73,4,14,22,8
2,8,8,26,31,7,1,73,4,14,22,8
2,14,5,17,21,8,1,73,4,14,22,8
2,16,8,25,23,7,1,73,4,14,22,8
2,19,5,18,25,1,1,73,4,14,22,8
2,24,5,22,22,8,1,73,4,14,22,8
2,36,5,16,24,8,1,73,4,14,22,8
2,47,5,25,24,1,1,73,4,14,22,8
2,49,6,23,53,2,1,73,4,14,22,8
2,60,6,20,24,1,1,73,4,14,22,8
2,62,7,24,19,8,1,73,4,14,22,8
2,63,5,41,23,7,1,73,4,14,22,8
2,68,5,16,21,8,1,73,4,14,22,8
2,70,6,24,25,8,1,73,4,14,22,8
2,63,5,41,23,7,1,74,4,26,23,8
2,3,6,20,22,8,1,75,5,14,24,8
2,8,8,26,31,7,1,75,5,14,24,8
2,16,8,25,23,7,1,75,5,14,24,8
2,49,6,23,53,2,1,75,5,14,24,8
2,60,6,20,24,1,1,75,5,14,24,8
2,62,7,24,19,8,1,75,5,14,24,8
2,70,6,24,25,8,1,75,5,14,24,8
2,3,6,20,22,8,1,78,5,6,20,8
2,8,8,26,31,7,1,78,5,6,20,8
2,16,8,25,23,7,1,78,5,6,20,8
2,34,6,7,26,1,1,78,5,6,20,8
2,44,6,10,23,8,1,78,5,6,20,8
2,49,6,23,53,2,1,78,5,6,20,8
2,56,8,10,63,2,1,78,5,6,20,8
2,60,6,20,24,1,1,78,5,6,20,8
2,62,7,24,19,8,1,78,5,6,20,8
2,70,6,24,25,8,1,78,5,6,20,8
2,87,7,13,23,8,1,78,5,6,20,8
2,7,3,25,23,1,1,80,1,21,24,1
2,8,8,26,31,7,1,80,1,21,24,1
2,16,8,25,23,7,1,80,1,21,24,1
2,24,5,22,22,8,1,80,1,21,24,1
2,47,5,25,24,1,1,80,1,21,24,1
2,49,6,23,53,2,1,80,1,21,24,1
2,62,7,24,19,8,1,80,1,21,24,1
2,63,5,41,23,7,1,80,1,21,24,1
2,70,6,24,25,8,1,80,1,21,24,1
2,79,2,24,25,7,1,80,1,21,24,1
2,3,6,20,22,8,1,82,5,11,39,1
2,8,8,26,31,7,1,82,5,11,39,1
2,16,8,25,23,7,1,82,5,11,39,1
2,49,6,23,53,2,1,82,5,11,39,1
2,60,6,20,24,1,1,82,5,11,39,1
2,62,7,24,19,8,1,82,5,11,39,1
2,70,6,24,25,8,1,82,5,11,39,1
2,87,7,13,23,8,1,82,5,11,39,1
2,3,6,20,22,8,1,83,3,11,23,3
2,8,8,26,31,7,1,83,3,11,23,3
2,9,4,15,23,1,1,83,3,11,23,3
2,14,5,17,21,8,1,83,3,11,23,3
2,16,8,25,23,7,1,83,3,11,23,3
2,19,5,18,25,1,1,83,3,11,23,3
2,24,5,22,22,8,1,83,3,11,23,3
2,26,5,14,23,1,1,83,3,11,23,3
2,32,5,12,23,1,1,83,3,11,23,3
2,36,5,16,24,8,1,83,3,11,23,3
2,47,5,25,24,1,1,83,3,11,23,3
2,49,6,23,53,2,1,83,3,11,23,3
2,60,6,20,24,1,1,83,3,11,23,3
2,62,7,24,19,8,1,83,3,11,23,3
2,63,5,41,23,7,1,83,3,11,23,3
2,68,5,16,21,8,1,83,3,11,23,3
2,70,6,24,25,8,1,83,3,11,23,3
2,85,5,12,25,1,1,83,3,11,23,3
2,87,7,13,23,8,1,83,3,11,23,3
